date,opponent,batter,pitcherHand,plateAppearance,pitchType,pitchLocation,swing,miss,result,resultType,resultLocation,hitType
15/06/24,Burlington,Fleming,R,1,SL,13,0,0,ball,,,
15/06/24,Burlington,Fleming,R,1,FB,11,0,0,ball,,,
15/06/24,Burlington,Fleming,R,1,CH,2,1,1,swing,miss,,
15/06/24,Burlington,Fleming,R,1,FB,6,0,0,strike,looking,,
15/06/24,Burlington,Fleming,R,1,CB,11,0,0,ball,,,
15/06/24,Burlington,Fleming,R,1,FB,13,1,1,strike,swinging,,k
15/06/24,Burlington,Fleming,R,2,FB,11,0,0,ball,,,
15/06/24,Burlington,Fleming,R,2,FB,13,0,0,ball,,,
15/06/24,Burlington,Fleming,R,2,CH,11,0,0,ball,,,
15/06/24,Burlington,Fleming,R,2,CH,7,0,0,strike,looking,,
15/06/24,Burlington,Fleming,R,2,FB,11,0,0,ball,walk,,
15/06/24,Burlington,Fleming,R,3,FB,12,0,0,ball,,,
15/06/24,Burlington,Fleming,R,3,SL,6,1,0,foul,,,
15/06/24,Burlington,Fleming,R,3,CB,12,0,0,ball,,,
15/06/24,Burlington,Fleming,R,3,FB,1,0,0,strike,looking,,
15/06/24,Burlington,Fleming,R,3,FB,6,1,0,foul,,,
15/06/24,Burlington,Fleming,R,3,SL,3,1,0,bip,fly,6,sf9
04/06/24,High Point,Fleming,R,1,FB,7,1,0,foul,,,
04/06/24,High Point,Fleming,R,1,CB,13,0,0,ball,,,
04/06/24,High Point,Fleming,R,1,CH,13,0,0,ball,,,
04/06/24,High Point,Fleming,R,1,FB,6,1,0,bip,grounder,1,go4
28/05/24,Carolina,Fleming,R,1,CB,10,0,0,ball,hbp,,
28/05/24,Carolina,Fleming,R,2,FB,1,1,1,strike,swinging,,
28/05/24,Carolina,Fleming,R,2,CH,1,0,0,strike,looking,,
28/05/24,Carolina,Fleming,R,2,FB,9,0,0,strike,looking,,kk
28/05/24,Carolina,Fleming,R,3,CB,6,1,0,bip,fly,6,fo9
31/05/24,Burlington,Fleming,R,1,FB,6,0,0,strike,looking,,
31/05/24,Burlington,Fleming,R,1,SL,10,0,0,ball,,,
31/05/24,Burlington,Fleming,R,1,SL,13,0,0,ball,,,
31/05/24,Burlington,Fleming,R,1,FB,13,0,0,ball,,,
31/05/24,Burlington,Fleming,R,1,FB,10,0,0,ball,walk,,
31/05/24,Burlington,Fleming,L,2,FB,11,0,0,ball,,,
31/05/24,Burlington,Fleming,L,2,FB,6,0,0,strike,looking,,
31/05/24,Burlington,Fleming,L,2,CH,11,0,0,ball,,,
31/05/24,Burlington,Fleming,L,2,FB,1,1,0,bip,fly,4,single
31/05/24,Burlington,Fleming,R,3,FB,5,1,0,foul,,,
31/05/24,Burlington,Fleming,R,3,FB,13,0,0,ball,,,
31/05/24,Burlington,Fleming,R,3,SL,3,0,0,strike,looking,,
31/05/24,Burlington,Fleming,R,3,CH,13,0,0,ball,,,
31/05/24,Burlington,Fleming,R,3,FB,6,1,0,foul,,,
31/05/24,Burlington,Fleming,R,3,CH,3,1,0,bip,fly,6,fo4
31/05/24,Burlington,Fleming,R,4,FB,13,0,0,ball,,,
31/05/24,Burlington,Fleming,R,4,CH,5,0,0,strike,looking,,
31/05/24,Burlington,Fleming,R,4,CH,9,0,0,strike,looking,,
31/05/24,Burlington,Fleming,R,4,FB,4,1,0,bip,grounder,2,go6
18/06/24,Carolina,Fleming,L,1,SL,1,1,0,bip,grounder,4,single
18/06/24,Carolina,Fleming,L,2,FB,11,0,0,ball,,,
18/06/24,Carolina,Fleming,L,2,SL,3,1,0,foul,,,
18/06/24,Carolina,Fleming,L,2,FB,11,0,0,ball,,,
18/06/24,Carolina,Fleming,L,2,CB,13,0,0,ball,,,
18/06/24,Carolina,Fleming,L,2,CB,12,0,0,ball,walk,,
18/06/24,Carolina,Fleming,R,3,FB,5,1,0,bip,popup,2,po4
18/06/24,Carolina,Fleming,R,4,FB,13,0,0,ball,,,
18/06/24,Carolina,Fleming,R,4,CH,13,0,0,ball,,,
18/06/24,Carolina,Fleming,R,4,FB,11,0,0,ball,,,
18/06/24,Carolina,Fleming,R,4,FB,13,0,0,ball,walk,,
